aah	interjection. Indication of amazement or surprise or enthusiasm.
aahed	verb. simple past and past participle of aah
aal	noun. The Indian mulberry or noni (Morinda citrifolia, Morinda tinctoria), a shrub found in Southeast Asia, the East Indies and the Pacific islands as far as French Polynesia.
aals	noun. plural of aal
aam	noun. A Dutch and German measure of liquids, used in England for Rhine wine, varying in different cities, being in Amsterdam about 41 wine gallons, in Antwerp 36½, and in Hamburg 38¼.
aardvark	noun. The nocturnal, insectivorous, burrowing mammal Orycteropus afer, of the order Tubulidentata and somewhat resembling a pig.
aas	symbol. ISO 639-3 language code for Asa.
aba	noun. A coarse, often striped, felted fabric from the Middle East, woven from goat or camel hair.
abac	noun. Synonym of nomogram.
abaci	noun. plural of abacus
aback	adverb. Towards the back or rear; backwards.
abacs	noun. plural of abac
abada	noun. The rhinoceros.
abas	noun. A cutaneous disease; the scald-head. porrigo
abase	verb. To lower, as in condition in life, office, rank, etc., so as to cause pain or hurt feelings; to degrade, to depress, to humble, to humiliate.
abased	adjective. Humbled; lowered, especially in rank, position, or prestige.
abate	verb. To lessen (something) in force or intensity; to moderate.
abated	verb. simple past and past participle of abate
abater	noun. One who, or that which, abates.
abates	noun. plural of abate
abatic	adjective. Alternative form of abasic
abay	noun. Barking or baying of dogs at their prey.
abb	noun. A type of yarn for the warp.
abbe	noun. Alternative spelling of abbé.
abbes	noun. plural of abbe
abbs	noun. plural of abb
abby	noun. Obsolete spelling of abbey.
abc	symbol. ISO 639-3 language code for Ambala Ayta.
abcee	noun. Alternative form of absey (“alphabet book”).
abd	noun. Alternative form of abid
abdal	noun. A religious devotee or dervish in Persia.
abdest	noun. The Islamic act of washing parts of the body using water for ritual prayers and for handling and reading the Qur'an.
abear	verb. To put up with; to endure; to bear.
abed	adverb. In bed, or on the bed; confined to bed.
abele	noun. The white poplar (Populus alba).
abeles	noun. plural of abele
abelia	noun. Any of the various honeysuckles of the genus Abelia.
abend	noun. The abnormal termination of a program.
abends	noun. plural of abend
abet	verb. To incite; to assist or encourage by aid or countenance in crime.
abets	verb. third-person singular simple present indicative of abet
abey	verb. To hold in abeyance; to suspend.
abhor	verb. To regard (someone or something) as horrifying or detestable; to feel great repugnance toward.
abid	verb. simple past and past participle of abide
abide	verb. To endure without yielding; to withstand.
abided	verb. simple past and past participle of abide
abides	verb. third-person singular simple present indicative of abide
abies	noun. A tree of the genus Abies.
abime	noun. Obsolete form of abysm.
abir	noun. An aromatic red powder that is used during the Holi festival.
abit	adverb. Alternative form of a bit.
abkar	noun. A wine seller; one who is subject to the abkari tax.
ablare	adjective. Blaring.
ablate	verb. To remove or decrease something by cutting, erosion, melting, evaporation, or vaporization.
able	adjective. Having the necessary powers or the needed resources to accomplish a task.
abled	adjective. Having a range of physical powers as specified.
ableist	adjective. Exhibiting or relating to ableism.
abler	adjective. comparative form of able: more able
ables	verb. third-person singular simple present indicative of able
ablest	adjective. superlative form of able: most able
ablet	noun. A small fresh-water fish (Alburnus alburnus); the bleak.
ablets	noun. plural of ablet
abling	verb. present participle and gerund of able
ablings	adverb. Alternative form of aiblins.
ablow	adjective. Blossoming, blooming, in blossom.
abluent	adjective. Washing away; carrying off impurities; detergent.
abluents	noun. plural of abluent
ablute	verb. To wash oneself.
