aardvark	Borrowed from Afrikaans aardvark (now rare), erdvark, from aarde (“earth”, from Middle Dutch aerde) + vark (“pig”, from Middle Dutch varken). Early European colonists in South Africa noticed that the animal was similar to a pig, while aarde hints at the animal's habit of burrowing.	noun. The nocturnal, insectivorous, burrowing mammal Orycteropus afer, of the order Tubulidentata and somewhat resembling a pig. Common in some parts of sub-Saharan Africa.
abnormal	From ab- + normal. First attested in 1835, replacing the earlier anormal and even earlier abnormous, from Latin abnormis (“departing from normal”), from either ab- (“away from”) + norma (“rule, norm”), or Ancient Greek ἀνώμαλος (anṓmalos).	adjective. Not conforming to rule or system; deviating from the usual or normal type.
absolute	First attested around 1380. From Middle English absolut, from Middle French absolut, from Latin absolūtus (“unconditional; unfettered; completed”), perfect passive participle of absolvō (“loosen, set free, complete”), from ab (“away”) + solvo (“to loose”). Influenced in part by Old French absolu. Compare absolve.	adjective. Free of restrictions, limitations, qualifications or conditions; unconditional. Unrestricted by laws, a constitution, or parliamentary or judicial or other checks; (legally) unlimited in power, especially if despotic. Characteristic of an absolutist ruler: domineering, peremptory.
absorbed	From absorb + -ed.	adjective. Fully occupied with one's thoughts; engrossed.
abstract	From Middle English abstract, borrowed from Latin abstractus, perfect passive participle of abstrahō (“draw away”), formed from abs- (“away”) + trahō (“to pull, draw”). The verbal sense is first attested in 1542.	noun. An abridgement or summary of a longer publication.
academic	From both the Medieval Latin acadēmicus and the French académique, from Latin academia, from Ancient Greek ἀκαδημικός (akadēmikós), from Ἀκαδημία (Akadēmía) or Ἀκαδήμεια (Akadḗmeia), the name of the place where Plato taught; compare academy. By surface analysis, academy + -ic.	adjective. Belonging to the school or philosophy of Plato.
accepted	From accept + -ed.	verb. simple past and past participle of accept
accident	First attested in the late 14th century. From Middle English accident, from Old French accident, from Latin accidēns, present active participle of accidō (“happen”); from ad (“to”) + cadō (“fall”). See cadence, case. In the sense “unintended pregnancy”, first attested in 1932.	noun. An unexpected event with negative consequences occurring without the intention of the one suffering the consequences, and (in the strict sense) not directly caused by humans.
accurate	Borrowed from Latin accūrātus, perfect passive participle of accūrō (“to take care of”), from ad- (“to, towards, at”) + cūrō (“care for”). First attested in 1610. Compare English cure.	adjective. Telling the truth or giving a true result; exact; not defective or faulty.
accustom	The verb is from Middle English accustomen, from Old French acoustumer, acustumer (Modern French accoutumer) corresponding to a (“to, toward”) + custom. More at custom, costume. The noun is from Middle English acustom.	verb. To make familiar by use; to cause to accept; to habituate, familiarize, or inure.
acoustic	Borrowed from Medieval Latin acousticus, acūsticus, from Ancient Greek ἀκουστῐκός (akoustĭkós, “of or for hearing”), from ἀκούω (akoúō, “to hear”) + -ῐκός (-ĭkós, adjectival suffix).	adjective. Pertaining to the sense of hearing, the organs of hearing, or the science of sounds.
activate	From active + -ate.	verb. To encourage development or induce increased activity; to stimulate.
actively	From late Middle English actyvely; equivalent to active + -ly.	adverb. In an active manner.
activity	From Middle French activité, from Latin activitas. Equivalent to active + -ity.	noun. The state or quality of being active; activeness.
actually	From Middle English actually, actuelly, equivalent to actual + -ly.	adverb. In act or in fact; really; in truth; positively.
addition	Sense of “what is added” dates from 14th century, from Middle English addicioun, addition, from Old French adition, from Latin additiōnem, accusative singular of additiō, from addō (“add, put”).	noun. The act of adding anything.
adequate	Learned borrowing from Latin adaequātus, perfect passive participle of adaequō (“to make equal to”) (see -ate (adjective-forming suffix) and -ate (verb-forming suffix)), further from ad (“to, towards, at”) + aequō (“to make equal, equalize”), from aequus (“equal”). Cognate with French adéquat. By surface analysis, ad- + equate.	adjective. Equal to or fulfilling some requirement.
